locality,avg_cost_for_two
"Pragati Manor, Christian Basti,",900.00
"Hotel Nakshatra, Beltola",900.00
"Hotel Nandan, Paltan Bazaar",883.33
"Hotel Lilawati Grand, Pan Bazaar",850.00
"Hotel Gateway Grandeur, Christian Basti",837.50
"Hotel President, Pan Bazaar",800.00
"Central Mall, Christian Basti",783.33
"Hotel Vandana, Paltan Bazaar",750.00
"The Hub, Bhangagarh",741.67
Khanapara,688.00
"Dona Planet Mall, Christian Basti",675.00
"Paradise Hotel, Silpukhuri",650.00
"Ginger Hotel, Hengerabari",650.00
"Six Mile",588.89
"Hotel Rajmahal, Paltan Bazaar",583.33
Dispur,570.00
"Fancy Bazaar",567.39
Jalukbari,550.00
"Zoo Tiniali",527.94
Ganeshguri,525.00
"Christian Basti",511.70
Ulubari,478.05
Maligaon,463.79
Bhangagarh,448.29
Silpukhuri,439.13
"Uzan Bazaar",432.65
Amingaon,426.67
Hengerabari,400.00
"Hotel Rodali Residency",400.00
"Paltan Bazaar",393.94
"Food Villa, Pan Bazaar",375.00
"Narengi Tinali",362.50
Beltola,356.67
"Pan Bazaar",353.85
Hatigaon,339.66
"Kala Pahar",337.50
Bharalumukh,303.85
"Roodraksh Mall, Bhangagarh",300.00
Chandmari,293.59
"Hotel Blue Moon, Uzan Bazaar","2,200.00"
"Vivanta By Taj, Khanapara","2,166.67"
Kahilipara,171.67
Borjhar,166.67
"Dynasty, Fancy Bazaar","1,933.33"
"Hotel Radisson Blu, Guwahati","1,700.00"
"Vishwaratna Hotel, Paltan Bazar","1,400.00"
"Kiranshree Portico, Paltan Bazaar","1,350.00"
"Hotel Royal De Casa, Beltola","1,250.00"
"Anil Plaza, Christian Basti","1,233.33"
"Hotel Rajdhani Regency, Dispur","1,100.00"
"Cygnett Inn Repose, Bhangagarh","1,033.33"
"Landmark Hotel, Ulubari","1,000.00"
"Hotel Geetanjali, Paltan Bazaar","1,000.00"
